id,zipcode,city,state,latitude,longitude
15854,47022,guilford,in,39.2059,-84.9616
15855,47060,west harrison,in,39.26089,-84.82078
15856,47023,holton,in,39.07505,-85.38718
15857,47024,laurel,in,39.50088,-85.18635
15858,47025,lawrenceburg,in,39.09089,-84.84995
15860,47030,metamora,in,39.428752,-85.13141
15861,47031,milan,in,39.12117,-85.13135
15862,47032,moores hill,in,39.11339,-85.08801
15863,47033,morris,in,39.28227,-85.17746
15864,47034,napoleon,in,39.20477,-85.3308
15865,47035,new trenton,in,39.3095,-84.90051
15866,47036,oldenburg,in,39.382381,-85.24073
15867,47037,osgood,in,39.12922,-85.29163
15868,47038,patriot,in,38.83867,-84.82689
15869,47039,pierceville,in,39.111625,-85.255114
15870,47040,rising sun,in,38.9495,-84.85384
15871,47041,sunman,in,39.237,-85.09468000000003
15872,47042,versailles,in,39.072,-85.2519
15873,47011,bennington,in,38.876,-85.0719
15874,47043,vevay,in,38.74784,-85.06716999999998
15875,47003,west college corner,in,39.56755,-84.81607
17002,61230,albany,il,41.76600300000001,-90.22322
17003,61231,aledo,il,41.19976,-90.74931
17004,61232,andalusia,il,41.4392,-90.71764
17005,61233,andover,il,41.29392,-90.29207
17006,61234,annawan,il,41.39726,-89.90455
17007,61258,hooppole,il,41.52226,-89.90983
17008,61235,atkinson,il,41.409646,-90.01821
17009,61236,barstow,il,41.51837,-90.35707
17010,61237,buffalo prairie,il,41.33836,-90.85487
17012,61238,cambridge,il,41.30365,-90.1929
17013,61239,carbon cliff,il,41.49476,-90.39068
17014,61240,coal valley,il,41.42865,-90.46096
17015,61241,colona,il,41.48392,-90.35318
17018,61242,cordova,il,41.697188,-90.30176999999999
17019,61243,deer grove,il,41.60781,-89.68955
17020,61244,east moline,il,41.51873300000001,-90.41788000000001
17021,61250,erie,il,41.65642,-90.07929
17022,61251,fenton,il,41.73059,-90.03012
17023,61252,fulton,il,41.863049,-90.14524
17024,61254,geneseo,il,41.44809,-90.15428
17025,61256,hampton,il,41.55587,-90.4093
17026,61257,hillsdale,il,41.61364,-90.1729
17027,61259,illinois city,il,41.39753,-90.89959
17028,61260,joy,il,41.1967,-90.88042
17029,61261,lyndon,il,41.71753,-89.92595
17030,61262,lynn center,il,41.29587,-90.3579
17031,61263,matherville,il,41.25976,-90.60791
17032,61264,milan,il,41.426583,-90.57639
17034,61265,moline,il,41.490333,-90.50005999999999
17035,61266,moline,il,41.554901,-90.615975
17036,61270,morrison,il,41.819003,-89.96623000000002
17037,61272,new boston,il,41.17031,-90.99681
17038,61273,orion,il,41.35476,-90.38152
17039,61274,osco,il,41.34781,-90.2804
17040,61275,port byron,il,41.599641999999996,-90.31978000000001
17041,61276,preemption,il,41.31281,-90.58458
17042,61277,prophetstown,il,41.67142,-89.93621999999998
17043,61278,rapids city,il,41.5817,-90.34346
17044,61279,reynolds,il,41.32976,-90.67042
17045,61201,rock island,il,41.4903,-90.56956
17046,61204,rock island,il,41.554901,-90.615975
17047,61299,rock island,il,41.520333,-90.541585
17048,61281,sherrard,il,41.303101,-90.50615
17049,61282,silvis,il,41.501234000000004,-90.41404
17050,61283,tampico,il,41.63031,-89.78622
17051,61284,taylor ridge,il,41.3867,-90.66819
17052,61285,thomson,il,41.978758,-90.09248000000001
19406,54610,alma,wi,44.31997,-91.91488
19407,54611,alma center,wi,44.44202,-90.93859
19408,54805,almena,wi,45.4169,-92.03296
19409,54720,altoona,wi,44.80468,-91.44321
